40.689247,-74.044502
36.106973,-112.112997
44.4280,-110.5885
28.3852,-81.5639
37.8199,-122.4783
43.8791,-103.4591
43.0812,-79.0736
35.6554,-83.4301
37.8651,-119.5383
29.4252,-98.4861
46.8523,-121.7603
37.2982,-113.0263
40.3428,-105.6836
34.1014,-118.3415
38.8977,-77.0365
52.5200,13.4050
48.8566,2.3522
41.8919,12.5113
48.1351,11.5820
51.5074,-0.1278
34.0522,-118.2437
55.7558,37.6176
52.3667,4.8945
33.6844,-117.8265
40.7128,-74.0060
25.7617,-80.1918
41.3851,2.1734
45.4642,9.1900
51.1657,10.4515
48.8588443,2.2943506
41.8901784,12.4922309
52.5200066,13.4049540
48.8565700,2.3521071
40.712776,-74.005974
37.7749295,-122.4194155
55.755826,37.617300
51.5073509,-0.1277583
34.052235,-118.243683
41.8902102,12.4922309
48.8566632,2.3521168
40.7127762,-74.0059745
37.7749295,-122.4194155
55.755826,37.617300
51.5073509,-0.1277583
34.052235,-118.243683
41.8902102,12.4922309
48.8566632,2.3521168
40.7127762,-74.0059745
37.7749295,-122.4194155
55.755826,37.617300
